step,total_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg
0,1.1184511184692383,0.7670236825942993,0.2633526623249054,0.0847214013338089,0.003353346837684512
1,1.1236417293548584,0.7685593366622925,0.2638936936855316,0.08673860132694244,0.004450081381946802
2,0.8949342966079712,0.6055765748023987,0.21121223270893097,0.07411286234855652,0.004032633267343044
3,0.7726669311523438,0.5068391561508179,0.21107569336891174,0.05086075887084007,0.0038913339376449585
4,0.9004647135734558,0.5944617390632629,0.25962311029434204,0.04269009083509445,0.0036897785030305386
5,0.6740045547485352,0.4370456635951996,0.19154439866542816,0.04166509211063385,0.0037494092248380184
6,0.9250304698944092,0.597709059715271,0.27324867248535156,0.05107612907886505,0.0029966342262923717
7,0.7269383072853088,0.4806259870529175,0.21213924884796143,0.030386902391910553,0.0037861624732613564
8,0.9436005353927612,0.6398879885673523,0.26454073190689087,0.03515249490737915,0.004019319079816341
9,0.8478534817695618,0.5510475635528564,0.24030549824237823,0.054300107061862946,0.0022003178019076586
10,0.8520250916481018,0.5605266690254211,0.24231649935245514,0.04613770917057991,0.003044232726097107
11,0.7982190251350403,0.49025529623031616,0.266865998506546,0.03824019804596901,0.0028575200121849775
12,0.6330034136772156,0.3792140483856201,0.21015609800815582,0.04102576524019241,0.0026075271889567375
13,0.4775390028953552,0.27813106775283813,0.1813894808292389,0.014876741915941238,0.003141694236546755
14,0.3595063090324402,0.17144690454006195,0.17970439791679382,0.006213266868144274,0.0021417459938675165
15,0.3547690212726593,0.17181962728500366,0.1725991815328598,0.007896663621068,0.0024535246193408966
16,0.3160570561885834,0.14338208734989166,0.1539595127105713,0.015905624255537987,0.002809844445437193
17,0.21354936063289642,0.10325030982494354,0.10340192914009094,0.00360957533121109,0.0032875388860702515
18,0.23402047157287598,0.10394266992807388,0.12360972911119461,0.0032803453505039215,0.003187735565006733
19,0.19297493994235992,0.07640527933835983,0.1074010357260704,0.0067156050354242325,0.002453013090416789
20,0.21237409114837646,0.07921000570058823,0.12766243517398834,0.002909879432991147,0.002591775031760335
21,0.1821015626192093,0.0743493139743805,0.09815928339958191,0.007690217345952988,0.0019027454545721412
22,0.15757276117801666,0.06469990313053131,0.08615140616893768,0.004917744547128677,0.0018037175759673119
23,0.13229478895664215,0.05214724317193031,0.07735133171081543,0.0007954502943903208,0.0020007616840302944
24,0.1730448305606842,0.05225573480129242,0.10678508877754211,0.01219794899225235,0.001806055661290884
25,0.18330171704292297,0.08161897957324982,0.09726177901029587,0.002735598711296916,0.0016853704582899809
26,0.15462692081928253,0.06352750211954117,0.0892113521695137,0.0005138182314112782,0.0013742479495704174
27,0.15546530485153198,0.07281836867332458,0.08003246784210205,0.0010368189541622996,0.0015776471700519323
28,0.14838525652885437,0.0630372166633606,0.08256109803915024,0.0011969219194725156,0.0015900192083790898
29,0.1255275160074234,0.05098123103380203,0.0719371885061264,0.001402293099090457,0.0012067996431142092
30,0.12305643409490585,0.04740646854043007,0.0729525089263916,0.001454764511436224,0.0012426984030753374
31,0.11876405030488968,0.04300261661410332,0.07096242904663086,0.003747130511328578,0.0010518735507503152
32,0.10173214972019196,0.04268418624997139,0.056389156728982925,0.0015803840942680836,0.0010784165933728218
33,0.08702662587165833,0.03785249963402748,0.04767181724309921,0.000331490853568539,0.0011708125239238143
34,0.09490500390529633,0.04056299850344658,0.04893573373556137,0.004511847626417875,0.0008944253204390407
35,0.0879342332482338,0.032242707908153534,0.05361027270555496,0.0007820846512913704,0.001299164374358952
36,0.1275332123041153,0.053365811705589294,0.06458447873592377,0.008774509653449059,0.000808410462923348
37,0.10065758973360062,0.038023680448532104,0.05680863559246063,0.004845275077968836,0.0009800000116229057
38,0.12009068578481674,0.04786309227347374,0.05141722410917282,0.019933350384235382,0.0008770248969085515
39,0.11430849879980087,0.06109785661101341,0.05180952697992325,0.0006885926122777164,0.0007125296397134662
40,0.07658922672271729,0.03584598749876022,0.03952918201684952,0.0006670965231023729,0.0005469603347592056
