step,loss_mask,loss_retina,fp_loss_retina,fp_loss_maskrcnn
0,3.795370578765869,2.3298637866973877,0.0867076888680458,0.34321504831314087
1,2.734884023666382,2.0620663166046143,0.08707955479621887,0.1143653616309166
2,2.4895272254943848,1.9625298976898193,0.0843764990568161,0.0739976093173027
3,2.016204833984375,1.771672010421753,0.08635855466127396,0.1053091436624527
4,1.54793119430542,1.6248891353607178,0.0976802334189415,0.16389499604701996
5,1.114115834236145,1.5185728073120117,0.09687428921461105,0.12754832208156586
6,0.9053005576133728,1.149935245513916,0.11082128435373306,0.17421434819698334
7,0.9568628072738647,1.1136537790298462,0.09267526865005493,0.19718781113624573
8,0.9149022102355957,0.8908884525299072,0.09893862903118134,0.1458900421857834
9,0.8114208579063416,0.8060317039489746,0.10487081110477448,0.25017860531806946
10,0.7452481985092163,0.5693833231925964,0.10457037389278412,0.2712527811527252
11,0.6442023515701294,0.5464500784873962,0.09327949583530426,0.2319071888923645
12,0.6090480089187622,0.48579108715057373,0.0992017611861229,0.15184104442596436
13,0.6060991287231445,0.4748590588569641,0.10711896419525146,0.1671343743801117
14,0.5322873592376709,0.4323033094406128,0.09614838659763336,0.18361783027648926
15,0.5506261587142944,0.46101605892181396,0.10237713903188705,0.19101499021053314
16,0.5617470741271973,0.40631580352783203,0.09909278154373169,0.1659940928220749
17,0.48274821043014526,0.432443767786026,0.09862638264894485,0.1672447770833969
18,0.49273526668548584,0.3507866859436035,0.09960727393627167,0.18150636553764343
19,0.5023739337921143,0.36213159561157227,0.10387159138917923,0.18420736491680145
20,0.4963744878768921,0.34603673219680786,0.09888685494661331,0.21292738616466522
21,0.4512091875076294,0.2939237058162689,0.09784242510795593,0.22245348989963531
22,0.46108391880989075,0.2748255133628845,0.0940578281879425,0.21282291412353516
23,0.4189187288284302,0.2685246169567108,0.09112685918807983,0.22914709150791168
24,0.4559185802936554,0.27913907170295715,0.09239425510168076,0.23879793286323547
25,0.4436222314834595,0.25584346055984497,0.09817393869161606,0.2710626721382141
26,0.4577503204345703,0.24948963522911072,0.09167587012052536,0.2580500543117523
27,0.4284125566482544,0.2618013620376587,0.09598778933286667,0.2120300531387329
28,0.3990403115749359,0.25066709518432617,0.0999225378036499,0.19614362716674805
29,0.42536211013793945,0.26650679111480713,0.09776166081428528,0.22437147796154022
30,0.393791139125824,0.24251890182495117,0.10159358382225037,0.2071317583322525
31,0.3795199692249298,0.25144585967063904,0.09987415373325348,0.1645120531320572
32,0.3870584964752197,0.2170233130455017,0.10177237540483475,0.1829257309436798
33,0.3858542740345001,0.2325616180896759,0.09777548164129257,0.18867947161197662
34,0.3634427785873413,0.20406058430671692,0.10207127779722214,0.19611866772174835
35,0.34759023785591125,0.21909935772418976,0.09844477474689484,0.19111089408397675
36,0.3566628098487854,0.2029389888048172,0.10037373751401901,0.19440989196300507
37,0.36366260051727295,0.22168925404548645,0.09285231679677963,0.17286314070224762
38,0.3814634680747986,0.19697368144989014,0.10105174034833908,0.1871175616979599
39,0.34790167212486267,0.2189529538154602,0.0874510332942009,0.170378640294075
40,0.3402402400970459,0.1883886158466339,0.09946675598621368,0.15321257710456848
